cod_disciplina,nome_disciplina,ch (horas),horário,partcipantes,aprovados,reprovados
IME0350,CÁLCULO 1A,96,246N45,53,67.92,32.08
INF0283,COMPUTAÇÃO E SOCIEDADE,32,6N23,54,55.56,44.44
INF0285,FUNDAMENTOS DE MATEMÁTICA PARA COMPUTAÇÃO,64,24N23,51,56.86,43.14
INF0284,INTRODUÇÃO À PROGRAMAÇÃO,128,35N2345,47,46.81,53.19
INF0286,ALGORITMOS E ESTRUTURAS DE DADOS 1,64,5N2345,40,62.5,37.5
INF0353,INTRODUÇÃO AOS SISTEMAS DE INFORMAÇÃO,64,3N2345,34,82.35,17.65
INF0305,LÓGICA MATEMÁTICA,64,24N23,19,89.47,10.53
INF0307,METODOLOGIA CIENTÍFICA,64,6N2345,39,71.79,28.21
IME0378,PROBABILIDADE E ESTATÍSTICA A,64,24N45,59,98.31,1.69
INF0287,ALGORITMOS E ESTRUTURAS DE DADOS 2,64,5N2345,47,91.49,8.51
INF0015,ARQUITETURA DE COMPUTADORES,64,6N2345,60,83.33,16.67
INF0022,BANCO DE DADOS,64,4N2345,38,78.95,21.05
INF0308,ENGENHARIA DE SISTEMAS DE INFORMAÇÃO 1,64,3N2345,42,83.33,16.67
INF0164,PROGRAMAÇÃO ORIENTADA A OBJETOS,64,2N2345,37,64.86,35.14
IME0351,ÁLGEBRA LINEAR,64,24N23,28,39.29,60.71
INF0013,ANÁLISE E PROJETO DE ALGORITMOS,64,3N2345,40,42.5,57.5
INF0309,BANCO DE DADOS 2,64,6N2345,24,87.5,12.5
INF0056,ENGENHARIA DE SOFTWARE,64,24N45,31,74.19,25.81
INF0310,SISTEMAS OPERACIONAIS,64,5N2345,19,0,100
INF0311,ENGENHARIA DE REQUISITOS,64,2N2345,28,,
INF0288,LINGUAGENS E PARADIGMAS DE PROGRAMAÇÃO,64,3N2345,49,,
INF0313,PESQUISA OPERACIONAL,64,4N2345,51,,
INF0290,PROJETO DE SOFTWARE,64,6N2345,40,,
INF0312,SISTEMAS INTELIGENTES DE APOIO À DECISÃO,64,5N2345,24,,